,이름,년도,팀,war,경기수,완봉,완투,선발,승,패,세이브,홀드,inning,실점,ERA,FIP,WHIP,ERA_plus,FIP_plus,자책,볼넷,홈런,삼진,연봉
0,류현진,10,한,9.2,25.0,5.0,3.0,25.0,16.0,4.0,0.0,0.0,192.2,42.0,1.82,2.9,1.01,253.6,159.5,39.0,45.0,11.0,187.0,27000.0
1,리오스,7,두,8.15,33.0,6.0,4.0,33.0,22.0,5.0,0.0,0.0,234.2,69.0,2.07,2.94,1.06,186.8,131.5,54.0,58.0,8.0,147.0,0.0
2,양현종,15,K,8.14,32.0,1.0,1.0,31.0,15.0,6.0,0.0,1.0,184.1,52.0,2.44,4.57,1.24,202.1,108.5,50.0,78.0,18.0,157.0,75000.0
3,류현진,6,한,7.78,30.0,6.0,1.0,28.0,18.0,6.0,1.0,0.0,201.2,57.0,2.23,2.15,1.05,168.0,174.6,50.0,52.0,11.0,204.0,0.0
4,리오스,4,K,7.41,32.0,3.0,2.0,32.0,17.0,8.0,0.0,0.0,222.2,75.0,2.87,3.5,1.25,152.1,124.8,71.0,70.0,10.0,145.0,0.0
5,양현종,19,K,7.37,29.0,2.0,2.0,29.0,16.0,8.0,0.0,0.0,184.2,56.0,2.29,2.63,1.07,183.1,160.3,47.0,33.0,6.0,163.0,230000.0
6,송진우,2,한,7.18,31.0,8.0,1.0,30.0,18.0,7.0,0.0,0.0,220.0,82.0,2.99,3.31,1.15,145.6,131.5,73.0,54.0,16.0,165.0,13500.0
7,김광현,10,S,7.12,31.0,2.0,1.0,30.0,17.0,7.0,0.0,0.0,193.2,56.0,2.37,3.63,1.22,191.9,125.2,51.0,84.0,13.0,183.0,17500.0
8,밴헤켄,14,넥,6.92,31.0,0.0,0.0,31.0,20.0,6.0,0.0,0.0,187.0,81.0,3.51,3.48,1.32,150.1,152.1,73.0,53.0,9.0,178.0,35000.0
9,린드블럼,19,두,6.88,30.0,0.0,0.0,30.0,20.0,3.0,0.0,0.0,194.2,57.0,2.5,2.87,1.0,164.4,141.5,54.0,29.0,13.0,189.0,900000.0
